Geneid,Label
SRR372611,Tumour
SRR372612,Normal
SRR372613,Tumour
SRR372614,Normal
SRR372615,Tumour
SRR372616,Normal
SRR372617,Tumour
SRR372618,Normal
SRR372619,Tumour
SRR372620,Normal
SRR372621,Tumour
SRR372622,Normal
SRR372623,Tumour
SRR372624,Normal
SRR372625,Tumour
SRR372626,Normal
SRR372627,Tumour
SRR372628,Normal
SRR372629,Tumour
SRR372630,Normal
SRR372631,Tumour
SRR372632,Normal
SRR372633,Tumour
SRR372634,Normal
SRR372635,Tumour
SRR372636,Normal
SRR372637,Tumour
SRR372638,Normal
SRR372639,Tumour
SRR372640,Normal
SRR372641,Tumour
SRR372642,Normal
SRR372643,Tumour
SRR372644,Normal
SRR372645,Tumour
SRR372646,Normal
SRR372647,Tumour
SRR372648,Normal
SRR372649,Tumour
SRR372650,Normal
SRR372651,Tumour
SRR372652,Normal
SRR372653,Tumour
SRR372654,Normal
SRR372655,Tumour
SRR372656,Normal
SRR372657,Normal
SRR372658,Tumour
SRR372659,Tumour
SRR372660,Tumour
SRR372661,Tumour
SRR372662,Normal
SRR372663,Tumour
SRR372664,Normal
SRR372665,Tumour
SRR372666,Normal
SRR372667,Tumour
SRR372668,Normal
SRR372669,Tumour
SRR372670,Normal
SRR372671,Tumour
SRR372672,Normal
